Frontside,Flipside,Category,Level
"<u>'i'</u>a","end | conclude","verb, intransitiv","0"
"<u>'i</u>a","lose oneself (spiritually)","verb, intransitiv","0"
"<u>'i</u>pu","humorous | funny | amusing","adjective","0"
"'it","bit | a small amount","substantive (noun)","0"
"<u>'i</u>tan","son","substantive (noun)","0"
"<u>'i</u>te","daughter","substantive (noun)","0"
"'ì<u>'awn</u>","remain | stay","verb, intransitiv","0"
"'ì<u>he</u>yu","spiral","substantive (noun)","0"
"'ìn","be busy | be occupied","verb, intransitiv","0"
"<u>'ìng</u>lìsì","English (language)","substantive (noun)","0"
"'ìp","disappear | vanish | recede from view","verb, intransitiv","0"
"<u>'ll</u>ngo","hip ([of the body])","substantive (noun)","0"
"<u>'o'</u>","bringing fun | exciting","adjective","0"
"'ok","remembrance","substantive (noun)","0"
"'ok<u>rol</u>","history ([ancient])","substantive (noun)","0"
"<u>'ok</u>trr","day of commemoration","substantive (noun)","0"
"'ok<u>vur</u>","history ([non-ancient, recent])","substantive (noun)","0"
"'om","violet | purple | magenta","adjective","0"
"<u>'om</u>pin","([the color]) violet | ([the color]) purple | ([the color]) magenta","substantive (noun)","0"
"'on","shape | form","substantive (noun)","0"
"'on si","shape | give shape (to s.t.) | ([physically or metaphorically])","verb, intransitiv","0"
"'ong","unfold | blossom","verb","0"
"<u>'o</u>ngokx","be born","verb, intransitiv","0"
"<u>'o</u>ngop","design ([for the larger aspects of design])","verb, transitive","0"
"<u>'o</u>ngopyu","designer","substantive (noun)","0"
"<u>'o</u>pin","color | colour","substantive (noun)","0"
"<u>'o</u>pinsung","color | color in","verb","0"
"<u>'o</u>pinvultsyìp","crayon | [short:] pinvul","substantive (noun)","0"
"<u>'o</u>ra","lake","substantive (noun)","0"
"<u>'o</u>ratsyìp","pond | pool","substantive (noun)","0"
"'o<u>txang</u>","musical instrument ([generic term])","substantive (noun)","0"
"<u>'rr</u>ko","roll","verb, intransitiv","0"
"<u>'rr</u>pxom","thunder","substantive (noun)","0"
"<u>'rr</u>ta","(planet) Earth","proper noun","0"
"'u","thing | object | fact | ([object, fact or abstraction])","substantive (noun)","0"
"'ul","increase | ([used to form 'the more … the more' pairs])","verb, intransitiv","0"
"<u>'um</u>tsa","medicine","substantive (noun)","0"
"<u>'u</u>o","something","indefinite pronouns","0"
"<u>'u</u>pe","what? | what (thing)? | which (thing)?","interrogation pronouns","0"
"'u<u>pxa</u>re","message","substantive (noun)","0"
"'ur","sight | look | appearance","substantive (noun)","0"
"fkeyk","([productive suffix for nouns]) | state | condition","suffix","0"
"nga'","([derivational suffix with the rough meaning:]) | containing (the noun)","suffix","0"
"o","[indefinite suffix] | [durative suffix]","suffix","0"
"a","[clause-level attributive marker] | who | whose | whom | which | that","particle","0"
"a<u>fpawng</u>","grief","substantive (noun)","0"
"a<u>fpawng si</u>","grieve","verb, intransitiv","0"
"a<u>ho</u>","pray","verb, intransitiv","0"
"a<u>krr</u>maw","after ([with subordinate clause before main clause])","conjunction","0"
"a<u>krr</u>ta","since ([with subordinate clause before main clause])","conjunction","0"
"a<u>kum</u>","that (as a result) ([follows the result])","conjunction","0"
"ak<u>wey</u>","[male name]","proper noun","0"
"a<u>lak</u>si","ready","adjective","0"
"a<u>lìm</u>","far away | at a distance","adverb","0"
"<u>a</u>lo","time | turn | instance | one of a number of repeated or recurring actions","substantive (noun)","0"
"<u>a</u>lu","that is | in other words","conjunction","0"
"a<u>lun</u>ta","because | from the reason | ([with subordinate clause before main clause])","conjunction","0"
"am<u>'a</u>","doubt","substantive (noun)","0"
"am<u>'a</u>ke","sure | confident | ([used with:] 'efu)","adjective","0"
"am<u>'a</u>luke","without a doubt | ([sentence adverbial])","adverb","0"
"am<u>hul</u>","[female name]","proper noun","0"
"anì<u>he</u>yu","fibonacci | blue spiral plant | [Orbis caeruleus]","substantive (noun)","0"
"anuk","[given name]","proper noun","0"
"<u>a</u>nurai","[clan name]","proper noun","0"
"aonung","[male name]","proper noun","0"
"a<u>pxa</u>","large","adjective","0"
"a<u>pxa</u>ngrr","delta tree | [lit.:] large root | [Magelum triangulare]","substantive (noun)","0"
"artsut","[female name]","proper noun","0"
"arvok","[male name]","proper noun","0"
"a<u>sim</u>","nearby | at close range","adverb","0"
"a<u>tan</u>","light | source of illumination","substantive (noun)","0"
"a<u>tan</u>","[male name]","proper noun","0"
"a<u>tan</u>vi","ray","substantive (noun)","0"
"a<u>tan</u>zaw","forked lightning","substantive (noun)","0"
"a<u>te</u>yo","[male name]","proper noun","0"
"atoki<u>ri</u>na'","seeds of the great tree","substantive (noun)","0"
"a<u>txar</u>","([smell of living animals, as found around a watering hole or animal nest])","adjective","0"
"atx<u>kxe</u>","land","substantive (noun)","0"
"atx<u>kxe</u>rel","map","substantive (noun)","0"
"a<u>u</u>","[exclamation of consternation]","interjection","0"
"<u>a</u>u","drum ([made of skin])","substantive (noun)","0"
"a<u>u</u>ngia","sign | omen | ([spiritual, mystical])","substantive (noun)","0"
"awai<u>e</u>i","banshee of paradise | [Bansheba terrestre]","substantive (noun)","0"
"aw<u>nga</u>","we (all) ([inclusive]) | [shortened form of:] ayoeng","personal pronouns","0"
"ay<u>fo</u>","they (all) | all of them","personal pronouns","0"
"ay<u>la</u>ru","to the others","personal pronouns","0"
"ay<u>nga</u>","you (all) | you ([plural])","personal pronouns","0"
"aynge<u>nga</u>","you all  | you ([plural]) | ([honorific/ceremonial])","personal pronouns","0"
"ay<u>o</u>e","we (all) ([exclusive])","personal pronouns","0"
"ay<u>weng</u>","we (all) ([inclusive])","personal pronouns","0"
"ay<u>o</u>he","we all ([exclusive]) | ([honorific/ceremonial])","personal pronouns","0"
"ay<u>ram a</u>lu<u>sìng</u>","Floating Mountains | Hallelujah Mountains","proper noun","0"
"ayvit<u>ra</u>yä ra<u>mu</u>nong","Well of Souls","proper noun","0"
"ä<u>i</u>e","vision ([spiritual])","substantive (noun)","0"
"<u>än</u>sìt","[male name]","proper noun","0"
"<u>ä</u>o","below | under","adposition","0"
"ä<u>txä</u>le","request","substantive (noun)","0"
"ä<u>txä</u>le si","request ([with] tsnì [for the relative clause])","verb, intransitiv","0"
"ä<u>zan</u>","force | compulsion","substantive (noun)","0"
"ä<u>zan si</u>","force | compel | ([used with] tsnì)","verb, intransitiv","0"
"ä<u>zan</u>luke","voluntarily | without force or cumpulsion","adverb","0"
"ä<u>zan</u>tu","domineering person | ([one who is bossy, authoritarian, or dictatorial])","substantive (noun)","0"
"<u>e</u>ampin","([the color]) green | ([the color]) blue","substantive (noun)","0"
"<u>e</u>an","blue | green","adjective","0"
"<u>e</u>an<u>e</u>an","cheadle | herbaceous plant | [Thylakoidia spiralis]","substantive (noun)","0"
"e<u>kxan</u>","barricade | obstruction","substantive (noun)","0"
"e<u>kxan si</u>","exclude | keep out | bar","verb, intransitiv","0"
"ekx<u>txu</u>","rough","adjective","0"
"<u>el</u>tu","brain","substantive (noun)","0"
"<u>el</u>tu le<u>fngap</u>","computer","substantive (noun)","0"
"<u>el</u>tu si","pay attention | quit goofing off","verb, intransitiv","0"
"<u>el</u>tungawng","brainworm","substantive (noun)","0"
"<u>el</u>tur tì<u>txen si</u>","be interesting | intriguing","verb, intransitiv","0"
"em<u>kä</u>","cross ([something])","verb, transitive","0"
"em<u>kä</u>fya","ford | crossing","substantive (noun)","0"
"em<u>rey</u>","survive","verb, intransitiv","0"
"em<u>za</u>'u","pass (a test) | overcome","verb, transitive","0"
"<u>en</u>tu","[male name]","proper noun","0"
"<u>e</u>o","before | in front of","adposition","0"
"<u>e</u>olì'uvi","prefix","substantive (noun)","0"
"ep<u>'ang</u>","complex","adjective","0"
"e<u>pxang</u>","stone jar  | ([used to hold small toxic arachnid])","substantive (noun)","0"
"<u>et</u>rìp","favourable | favorable | auspicious","adjective","0"
"eu<u>ro</u>pa","Europe","substantive (noun)","0"
"<u>ewk</u>tswo","sense of taste","substantive (noun)","0"
"<u>ew</u>ku","taste","verb, transitive","0"
"<u>ew</u>ro","euro ([currency])","substantive (noun)","0"
"e<u>yawr</u>","correct | right","adjective","0"
"e<u>yawr</u>fya","right way ([of doing s.t.]) | correct path","substantive (noun)","0"
"e<u>ya</u>ye","warbonnet | [Bellicum pennatum]","substantive (noun)","0"
"eyk","lead","verb, transitive","0"
"<u>eyk</u>tan","leader | ([higher and more permanent position than] eykyu)","substantive (noun)","0"
"eykta<u>nay</u>","deputy | general  | ([someone who is one step down in rank from leader])","substantive (noun)","0"
"<u>eyk</u>yu","leader  | ([temporary leader of a small group like a hunting party])","substantive (noun)","0"
"<u>ey</u>tukan","[male name]","proper noun","0"
"<u>ey</u>wa","Eywa | world spirit | [the Great Mother who protects the balance of life]","proper noun","0"
"eywa<u>'e</u>veng","Pandora ([moon around Polyphemus]) | ([often shortened to] Eyweveng)","proper noun","0"
"fa","with | by means of","adposition","0"
"fa<u>hew</u>","smell","substantive (noun)","0"
"<u>fa</u>oi","smooth","adjective","0"
"fay<u>lu</u>ta","that | [relative pronoun to reported speech of the verb] plltxe | [short for:] faylì'ut a","relative pronouns","0"
"fä<u>kä</u>","go up | ascend","verb, intransitiv","0"
"<u>fä</u>pa","top | topside","substantive (noun)","0"
"<u>fäp</u>yo","roof","substantive (noun)","0"
"fä<u>za</u>'u","come up | ascend","verb, intransitiv","0"
"fe'","bad | not good","adjective","0"
"<u>fe'</u>lup","tacky | in poor taste","adjective","0"
"fe'<u>pey</u>","feel dread | expect something bad to happen | fear | ([used with] tsnì)","verb, intransitiv","0"
"<u>fe'</u>ran","flawed nature | something ill-conceived | something inherently defective","substantive (noun)","0"
"<u>fe'</u>ranvi","blemish | deformity | strain | flawed feature","substantive (noun)","0"
"<u>fe</u>'ul","worsen | get worse","verb, intransitiv","0"
"<u>fe</u>kem","accident","substantive (noun)","0"
"<u>fe</u>kum","disadvantage | drawback | downside","substantive (noun)","0"
"<u>fe</u>kumnga'","disadvantageous","adjective","0"
"few","across | aiming for the opposite side of","adposition","0"
"<u>fe</u>wi","chase","verb, transitive","0"
"<u>few</u>tusok","opposite | on the opposite side","adjective","0"
"fil","child\'s toy | play thing","substantive (noun)","0"
"fì<u>'u</u>","this (thing) | it","demonstrative pronouns","0"
"fì<u>fya</u>","this way | like this","adverb","0"
"fì<u>kem</u>","this (action) | it","demonstrative pronouns","0"
"fì<u>po</u>","this one ([person or thing])","demonstrative pronouns","0"
"fì<u>re</u>won","this morning","substantive (noun)","0"
"fì<u>trr</u>","today","adverb","0"
"fì<u>trr</u>o","all day long","adverb","0"
"fì<u>tsap</u>","each other","adverb","0"
"fì<u>tse</u>nge","here | this place | [alternate:] fìtseng","adverb","0"
"fì<u>txan</u>","so | to such an extent","adverb","0"
"fì<u>txon</u>","tonight","adverb","0"
"fkan","[resemble in a sensory modality] | [come to the senses as] | ([used to form the 'middle voice'])","verb, intransitiv","0"
"<u>fka</u>rut","peel","verb","0"
"fkay","hateful","adjective","0"
"fkew","mighty","adjective","0"
"<u>fkey</u>tok","exist","verb, intransitiv","0"
"<u>fki</u>o","tetrapteron | ([flamingo-like Pandoran animal])","substantive (noun)","0"
"fkip","up among","adposition","0"
"fko","one | they ([singular usage]) | ([unspecified agent])","indefinite pronouns","0"
"<u>fkxa</u>ke","itch","verb, intransitiv","0"
"<u>fkxa</u>kewll","Thistle bud | [lit.:] itch plant | [Cynaroidia glauca]","substantive (noun)","0"
"<u>fkxa</u>ra","stress ([mental or emotional])","substantive (noun)","0"
"<u>fkxa</u>ranga'","stressful","adjective","0"
"fkxen","vegetable ([food])","substantive (noun)","0"
"<u>fkxi</u>le","bib necklace","substantive (noun)","0"
"flawkx","leather","substantive (noun)","0"
"flawm","cheek ([of the body])","substantive (noun)","0"
"flä","succeed | be successful","verb, intransitiv","0"
"<u>fle</u>fle","Sol's delight | magnetotrophic plant | [Calamariphyllum elegans]","substantive (noun)","0"
"flew","throat","substantive (noun)","0"
"flì","thin","adjective","0"
"flì<u>nutx</u>","thickness","substantive (noun)","0"
"flrr","gentle | mild | tender","adjective","0"
"fmal","sustain","verb, transitive","0"
"fmawn","news | something to report","substantive (noun, uncountable)","0"
"<u>fmawn</u>ta","that | [relative pronoun to reported speech of the verbs] stawm [or] peng | [short from:] fmawnit a","relative pronouns","0"
"<u>fme</u>tok","test (s.o.)","verb, transitive","0"
"fmi","try | attempt","modal verb, transitive","0"
"fmokx","jealousy | envy","substantive (noun)","0"
"fmong","steal | rob","verb, transitive","0"
"<u>fmong</u>yu","thief","substantive (noun)","0"
"fnan","be good at","verb, transitive","0"
"fna<u>we'</u>","cowardly","adjective","0"
"fna<u>we'</u>tu","coward","substantive (noun)","0"
"fne","kind of ([noun]) | type of ([noun])","prefix","0"
"fnel","kind | type","substantive (noun)","0"
"<u>fne</u>lan","male","substantive (noun)","0"
"<u>fne</u>le","female","substantive (noun)","0"
"<u>fne</u>pe","what? | which kind? | which type?","interrogation pronouns","0"
"fnu","quiet | be quiet","verb, intransitiv","0"
"fngap","metal","substantive (noun)","0"
"<u>fngap</u>sutxwll","metalfollowing plant | [Pennanemone ciliare]","substantive (noun)","0"
"fngä'","relieve oneself | [on Earth:] use the restroom, go to the bathroom","verb, intransitiv","0"
"<u>fngä'</u>tseng","rest room ([on Earth])","substantive (noun)","0"
"fngo'","require | demand","verb, transitive","0"
"fo","they (all) | all of them | ([short plural form of:] ayfo)","personal pronouns","0"
"fpak","hold off | suspend action ([that's already in progress])","verb, intransitiv","0"
"fpe'","send","verb, transitive","0"
"fpe<u>i</u>o","challenge ([ceremonial])","substantive (noun)","0"
"fpi","for the sake of | for the benefit of","adposition","0"
"fpi<u>vìl</u>","hmmm … | let me think …","phrase","0"
"fpìl","think","verb, transitive","0"
"<u>fpìl</u>fya","thought pattern | way of thinking","substantive (noun)","0"
"fpom","wellbeing | peace | happiness","substantive (noun)","0"
"fpom<u>ron</u>","(mental) health | (mental) well-being","substantive (noun)","0"
"fpom<u>ro</u>nga'","(mentally) healthful","adjective","0"
"fpom<u>tokx</u>","(physical) health","substantive (noun)","0"
"fpom<u>tokx</u>nga'","(physically) healthful","adjective","0"
"<u>fpxa</u>faw","medusa ([animal]) | [Electromedusa aerae]","substantive (noun)","0"
"<u>fpxa</u>mo","terrible | horrible | awful","adjective","0"
"<u>fpxä</u>kìm","enter","verb, intransitiv","0"
"<u>fra</u>'u","everything","indefinite pronouns","0"
"<u>fra</u>fya","in every way","adverb","0"
"<u>fra</u>krr","always | all the time","adverb","0"
"<u>fra</u>lo","every time | every instance | each time","adverb","0"
"<u>fran</u>se","French | the French language","substantive (noun)","0"
"<u>fra</u>po","everyone","indefinite pronouns","0"
"<u>fra</u>to","than all | [superlative marker]","particle","0"
"fra<u>trr</u>","daily | every day","adverb","0"
"<u>fra</u>tseng","everywhere","adverb","0"
"fra<u>txon</u>","every night","adverb","0"
"fraw<u>zo</u>","all is well | everything is fine | everything is OK | no problem","interjection","0"
"frir","layer","substantive (noun)","0"
"frìp","bite","verb, transitive","0"
"<u>frr</u>fen","visit","verb, transitive","0"
"<u>frr</u>tu","guest | visitor","substantive (noun)","0"
"fta","knot","substantive (noun)","0"
"fta si","knot | make or tie a knot","verb, intransitiv","0"
"ftang","stop (to do something/an action)","modal verb, intransitive","0"
"ftang<u>len</u>","prevent","verb, transitive","0"
"ftaw<u>nem</u>krr","past","substantive (noun)","0"
"ftär","left (not right) ([direction])","adjective","0"
"<u>ftär</u>pa","left side","substantive (noun)","0"
"fte","so that | in order to","conjunction","0"
"<u>fte</u>ke","so that not | lest","conjunction","0"
"ftem","pass by (something)","verb, transitive","0"
"fti<u>a</u>","study","verb, transitive","0"
"ftu","from ([direction])","adposition","0"
"<u>ftu</u>e","easy | simple","adjective","0"
"<u>ftum</u>fa","out of | from inside","adposition","0"
"<u>ftu</u>opa","from behind","adposition","0"
"<u>ftxa</u>vang","passionate","adjective","0"
"ftxey","choose","verb, transitive","0"
"ftxey  ftxey","whether ... or ...","conjunction","0"
"ftxey  fu<u>ke</u>","whether ... (or not)","conjunction","0"
"ftxì","tongue","substantive (noun)","0"
"ftxì<u>lor</u>","delicious | good tasting","adjective","0"
"ftxì<u>vä'</u>","bad tasting | disgusting","adjective","0"
"ftxo<u>zä</u>","celebration | happy occasion","substantive (noun)","0"
"ftxo<u>zä si</u>","celebrate","verb, intransitiv","0"
"ftxu<u>lì</u>'u","orate | give a speech","verb, intransitiv","0"
"ftxu<u>lì</u>'uyu","orator | (public) speaker","substantive (noun)","0"
"fu","or","conjunction","0"
"<u>fu</u>la","that | [subordinate to a subject clause of a transitive verb] | [short from:] fì'ul a","conjunction","0"
"<u>fu</u>ra","that | [subordinate to a clause of a verb that requires the dative] | [short form of:] fì'ur a","conjunction","0"
"<u>fu</u>ria","that | [subordinate to a topic clause] | [short from:] fì'uri a","conjunction","0"
"<u>fu</u>ta","that | [subordinate to a clause of a transitive verb]","conjunction","0"
"fwa","that ([subordinate clause marker])","conjunction","0"
"fwal","wipe","verb, transitive","0"
"<u>fwam</u>pop","tapirus | ([tapir-like Pandoran animal])","substantive (noun)","0"
"fwang","savory | [umami] | rich | ([of taste and smell])","adjective","0"
"<u>fwä</u>kì","mantis","substantive (noun)","0"
"<u>fwä</u>kìwll","mantis orchid | [Pandorchidus insectoralis]","substantive (noun)","0"
"<u>fwe</u>fwi","whistle","verb, intransitiv","0"
"fwel","broken","adjective","0"
"fwem","(point) dull | (point) blunt","adjective","0"
"fwep","dust ([on the surface])","substantive (noun)","0"
"fwew","look for | seek | search","verb, transitive","0"
"fwi","slip | slide","verb, intransitiv","0"
"fwìng","humiliation | embarrassment | loss of face","substantive (noun)","0"
"fwìng si","humiliate","verb, intransitiv","0"
"fwopx","dust ([in the air])","substantive (noun)","0"
"<u>fya</u>'o","path | way | manner","substantive (noun)","0"
"<u>fya</u>lì'u","adverb","substantive (noun)","0"
"fyan","[constructed device for keeping s.t. off the ground and clean]","substantive (noun)","0"
"<u>fyan</u>yì","shelf","substantive (noun)","0"
"<u>fyan</u>yo","table | [elevated utilitarian surface] | ([coll.:] yo)","substantive (noun)","0"
"<u>fya</u>pe","how? | what (manner)?","interrogation pronouns","0"
"fyawìn<u>txu</u>","guide ([with dative of thing guided])","verb, intransitiv","0"
"fyawìn<u>txu</u>yu","guide ([person])","substantive (noun)","0"
"fyel","seal | cement | make impervious | ([make something tight and secure, so that it is unlikely (or at least not intended) to be broken])","verb, transitive","0"
"fyeng","steep","adjective","0"
"fyep","hold (in the hand) | grasp | grip","verb, transitive","0"
"fyeyn","ripe | mature | adult","adjective","0"
"<u>fyeyn</u>tu","adult person","substantive (noun)","0"
"fyin","simple","adjective","0"
"fyinep<u>'ang</u>","degree of complexity","substantive (noun)","0"
"fyìp","tendril | tentacle","substantive (noun)","0"
"<u>fyìp</u>maut","squid fruit tree | [octocrus folliculus]","proper noun","0"
"<u>fyo</u>le","sublime | beyond perfection","adjective","0"
"<u>fyo</u>lup","exquisite | sublime in style","adjective","0"
"fyu<u>atx</u>","anemonoid","proper noun","0"
"ha","so | in that case","adverb","0"
"ha'","fit | suit | complement | inherently enhance | [two entities (things, people, situations, ...) fit or suit each other | two entities “go together” well]","verb, intransitiv","0"
"ha'<u>ngir</u>","afternoon","substantive (noun)","0"
"ha'ngi<u>ram</u>","yesterday afternoon","adverb","0"
"ha'ngi<u>ram</u>","yesterday afternoon (the afternoon yesterday)","substantive (noun)","0"
"ha'ngi<u>ray</u>","tomorrow afternoon","adverb","0"
"ha'ngi<u>ray</u>","tomorrow afternoon (the afternoon tomorrow)","substantive (noun)","0"
"ha<u>fyon</u>","wisdom","substantive (noun)","0"
"ha<u>fyo</u>nga'","wise","adjective","0"
"<u>ha</u>haw","sleep","verb, intransitiv","0"
"ham","previous","adjective","0"
"ha<u>ma</u>lo","last time","adverb","0"
"ha<u>me</u>tsì","Chametz | ([leavened bread])","substantive (noun)","0"
"han","lose ([not having s.t. you once had])","verb, transitive","0"
"<u>hang</u>ham","laugh","verb, intransitiv","0"
"<u>hang</u>vur","joke | funny story","substantive (noun)","0"
"ha<u>pxì</u>","part","substantive (noun)","0"
"ha<u>pxì</u>tu","member","substantive (noun)","0"
"ha<u>sey</u>","done | finished","adjective","0"
"ha<u>sey si</u>","accomplish | bring to a conclusion","verb, intransitiv","0"
"hawl","prepare","verb, transitive","0"
"<u>hawm</u>pam","noise ([excessive, unnecessary, inappropriate, unexpected, or startling sound])","substantive (noun)","0"
"hawn<u>tsyokx</u>","glove","substantive (noun)","0"
"<u>haw</u>nu","protect | shelter","verb, transitive","0"
"hawn<u>ven</u>","shoe","substantive (noun)","0"
"hawng","overabundance","substantive (noun)","0"
"<u>hawng</u>krr","late","adverb","0"
"haw<u>re'</u>","hat","substantive (noun)","0"
"<u>haw</u>tsyìp","nap","substantive (noun)","0"
"hay","next | following | subsequent | ensuing","adjective","0"
"ha<u>ya</u>lo","next time","adverb","0"
"ha<u>ya</u>lovay","until next time","interjection","0"
"hän","net | web | [also:] the internet","substantive (noun)","0"
"<u>he</u>'a","cough","verb, intransitiv","0"
"<u>he</u>fi","smell","verb, transitive","0"
"<u>he</u>fitswo","sense of smell","substantive (noun)","0"
"hek","be curious | be odd | be strange | be unexpected","verb, intransitiv","0"
"<u>he</u>na","carry","verb, transitive","0"
"her<u>meyp</u>","snow flurry","substantive (noun)","0"
"<u>her</u>txayo","snow field","substantive (noun)","0"
"<u>her</u>wì","snow","substantive (noun)","0"
"<u>her</u>wìva","snowflake","substantive (noun)","0"
"<u>hew</u>ne","soft ([of an object])","adjective","0"
"heyn","sit","verb, intransitiv","0"
"heyr","chest","substantive (noun)","0"
"<u>hi</u>fwo","flee | escape","verb, intransitiv","0"
"hipx","control","verb, transitive","0"
"<u>hi</u>up","spit | spit out","verb","0"
"<u>hi</u>yìk","funny | strange","adjective","0"
"<u>hì'</u>ang","insect","substantive (noun)","0"
"<u>hì'</u>i","small | little ([size])","adjective","0"
"<u>hì</u>krr","second | very short time","substantive (noun)","0"
"hìm","small ([quantity])","adjective","0"
"hìm<u>pxì</u>","minority | least | small part","substantive (noun)","0"
"hìm<u>txam</u>pe","how much?","interrogation pronouns","0"
"hìm<u>txan</u>","amount","substantive (noun)","0"
"hìm<u>txew</u>","minimum","substantive (noun)","0"
"hìm<u>txew</u>vay","minimally","adverb","0"
"hì<u>no</u>","fine | detailed | precise | intricate ([of things])","adjective","0"
"<u>hì</u>pey","hesitate | hold back for a short time | ([deferring the start of an action])","verb, intransitiv","0"
"hì<u>rum</u>wll","puffer plant","substantive (noun)","0"
"hì<u>txo</u>a","excuse me | sorry","interjection","0"
"<u>ho</u>an","comfort","substantive (noun)","0"
"<u>ho</u>et","vast | broad | expansive","adjective","0"
"hol","(only a) few | not many","adjective","0"
"hol<u>pxay</u>","number","substantive (noun)","0"
"hol<u>pxay</u>pe","how many?","interrogation pronouns","0"
"<u>ho</u>na","endearing | adorable | cute","adjective","0"
"horenley<u>kek</u>yu","law enforcer | police officer | [often shortened to:] leykekyu","substantive (noun)","0"
"<u>hrr</u>ap","danger","substantive (noun)","0"
"hu","with ([accompaniment]) | (together) with","adposition","0"
"hu<u>fwa</u>","although","conjunction","0"
"hu<u>fwe</u>","wind","substantive (noun)","0"
"hu<u>fwe</u>tsyìp","breeze | light wind","substantive (noun)","0"
"hul<u>tstxem</u>","hinder","verb, transitive","0"
"hum","leave | depart","verb, intransitiv","0"
"hupx","miss | not hit a target","verb, transitive","0"
"<u>hu</u>ru","cooking pot","substantive (noun)","0"
"<u>i</u>'en","[Pandoran stringed instrument]","substantive (noun)","0"
"ikeyni","[female name]","proper noun","0"
"ikni<u>ma</u>ya","Stairway to Heaven | [the rite of passage for young Na'vi]","substantive (noun)","0"
"<u>ik</u>ran","banshee | ([flying mount])","substantive (noun)","0"
"ikra<u>nay</u>","forest banshee | lesser banshee ([smaller cousin to the mountain banshee])","substantive (noun)","0"
"<u>i</u>kut","large pestle ([grinding tool]) | meal-mashing pole","substantive (noun)","0"
"il","bend","verb, intransitiv","0"
"<u>i</u>lu","ilu | ([large plesiosaur-like sea creature])","substantive (noun)","0"
"i<u>nan</u>","read (the forest) | gain knowledge from sensory input | ([colloquially]) know what someone is about | know someone's "deal"","verb, transitive","0"
"i<u>nan</u>fya","sense ([means of perception])","substantive (noun)","0"
"<u>ing</u>yen","feeling of mystery | feeling of noncomprehension","substantive (noun)","0"
