00:05 -- Analyzing message from DISBOARD#2760 in 🔵bot-commands.
02:23 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:23 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:23 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:24 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:24 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
02:24 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:24 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:25 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:25 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:26 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:26 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:26 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:26 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:26 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:26 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:26 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:26 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
02:26 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:26 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:27 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:27 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:27 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:27 -- Analyzing message from HappyHippo77#2866 in 🐾yawnea-ayswirä🌱.
02:27 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:27 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:27 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:28 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:28 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:28 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:29 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:29 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:29 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:29 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:29 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:30 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:30 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:30 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:30 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:30 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:30 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:30 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:30 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:31 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:31 -- Analyzing message from Atokirina#2706 in 🐾yawnea-ayswirä🌱.
02:31 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:31 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
02:31 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:31 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:31 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
02:31 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:31 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:32 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:32 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:32 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:32 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:32 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:32 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:32 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
02:32 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:32 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:33 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:33 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:33 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:33 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:33 -- Analyzing message from Atokirina#2706 in 🐾yawnea-ayswirä🌱.
02:33 -- Analyzing message from Atokirina#2706 in 🐾yawnea-ayswirä🌱.
02:33 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:33 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:34 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:34 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:34 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:34 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:34 -- Analyzing message from Atokirina#2706 in 🐾yawnea-ayswirä🌱.
02:35 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:35 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:35 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:35 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:36 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:36 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:36 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
02:36 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:37 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:37 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:37 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:37 -- Analyzing message from WhoaConstrictor#9974 in 💬tìpängkxo.
02:37 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:37 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:38 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:38 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
02:38 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:39 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:39 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:40 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:40 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:40 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:40 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
02:40 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:40 -- Analyzing message from sickdelusion#3020 in 💬tìpängkxo.
02:40 -- Analyzing message from omikranay#9170 in 🏫numtsengvi.
02:41 -- Analyzing message from ollywood#4813 in 🐾yawnea-ayswirä🌱.
02:41 -- Analyzing message from Hwaet#4348 in 🏫numtsengvi.
02:41 -- Analyzing message from ollywood#4813 in 🐾yawnea-ayswirä🌱.
02:41 -- Analyzing message from WhoaConstrictor#9974 in 🏫numtsengvi.
02:41 -- Analyzing message from omikranay#9170 in 🏫numtsengvi.
02:42 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:42 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:43 -- Analyzing message from sickdelusion#3020 in 🏫numtsengvi.
02:43 -- Analyzing message from ollywood#4813 in 🐾yawnea-ayswirä🌱.
02:43 -- Analyzing message from Hwaet#4348 in 🏫numtsengvi.
02:43 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:43 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:44 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:44 -- Analyzing message from Hwaet#4348 in 🐾yawnea-ayswirä🌱.
02:44 -- Analyzing message from ollywood#4813 in 🏫numtsengvi.
02:44 -- Analyzing message from sickdelusion#3020 in 🏫numtsengvi.
02:45 -- Analyzing message from ollywood#4813 in 🏫numtsengvi.
02:45 -- Analyzing message from ollywood#4813 in 🏫numtsengvi.
02:46 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:46 -- Analyzing message from Hwaet#4348 in 🏫numtsengvi.
02:46 -- Analyzing message from Hwaet#4348 in 🏫numtsengvi.
02:46 -- Analyzing message from ollywood#4813 in 🐾yawnea-ayswirä🌱.
02:46 -- Analyzing message from ollywood#4813 in 🏫numtsengvi.
02:46 -- Analyzing message from Hwaet#4348 in 🏫numtsengvi.
02:47 -- Analyzing message from Hwaet#4348 in 💬tìpängkxo.
02:47 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:47 -- Analyzing message from FeynirHusky#2154 in 🐾yawnea-ayswirä🌱.
02:49 -- Analyzing message from Wind12#2315 in 💬tìpängkxo.
03:06 -- Analyzing message from DangerRanger#4435 in 💬chat-room.
03:21 -- Analyzing message from Crunch#6609 in 💬chat-room.
03:21 -- 03:21 -- Gave Crunch the Colonel Quaritch (Rank 3) role and removed the Hell's Gate (Rank 2) role.
03:26 -- Analyzing message from LoopyRoopy#3783 in 📝tips-and-tricks.
03:26 -- Analyzing message from LoopyRoopy#3783 in 📝tips-and-tricks.
03:54 -- Analyzing message from AugustNox#8572 in 🏆sivako.
04:08 -- Analyzing message from HappyHippo77#2866 in 🐾yawnea-ayswirä🌱.
04:10 -- Analyzing message from HappyHippo77#2866 in 🐾yawnea-ayswirä🌱.
04:11 -- Analyzing message from HappyHippo77#2866 in 🐾yawnea-ayswirä🌱.
04:12 -- Analyzing message from Nightmare#4582 in 🤞lucky-chests.
04:38 -- Analyzing message from Deadpoole#1548 in 🤞lucky-chests.
04:43 -- Analyzing message from AgentPerry#8264 in 🤖bot-spam.
04:44 -- Analyzing message from Salv#4325 in 📝tips-and-tricks.
04:58 -- Analyzing message from LoopyRoopy#3783 in 📝tips-and-tricks.
04:58 -- Analyzing message from LoopyRoopy#3783 in 📝tips-and-tricks.
04:58 -- Analyzing message from LoopyRoopy#3783 in 📝tips-and-tricks.
04:59 -- Analyzing message from LoopyRoopy#3783 in 📝tips-and-tricks.
05:02 -- TimidLilWolf joined the server.
05:02 -- Gave TimidLilWolf the role frapo.
05:02 -- Created a new profile for TimidLilWolf.
05:02 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:02 -- Analyzing message from TimidLilWolf#2436 in 👋kaltxì.
05:03 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:03 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:04 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:04 -- Analyzing message from ollywood#4813 in 👋kaltxì.
05:04 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:05 -- Analyzing message from ollywood#4813 in 🎨tseo.
05:05 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
05:05 -- Analyzing message from ollywood#4813 in 🎮ayuvan.
05:05 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:06 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:06 -- Analyzing message from ollywood#4813 in 🎮ayuvan.
05:06 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:06 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:06 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:07 -- Analyzing message from ollywood#4813 in 🎮ayuvan.
05:07 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:07 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:08 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:08 -- Analyzing message from General Anubis#6342 in 💬tìpängkxo.
05:08 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:08 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:08 -- Analyzing message from General Anubis#6342 in 💬tìpängkxo.
05:12 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:12 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:12 -- Analyzing message from HappyHippo77#2866 in 🎮ayuvan.
05:14 -- Analyzing message from ollywood#4813 in 🎮ayuvan.
05:15 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
05:15 -- Analyzing message from omikranay#9170 in 🎨tseo.
05:16 -- Analyzing message from CaptJakeSparrow#6873 in 💬tìpängkxo.
05:16 -- Analyzing message from CaptJakeSparrow#6873 in 💬tìpängkxo.
05:17 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
05:17 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
05:17 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
05:17 -- Analyzing message from CaptJakeSparrow#6873 in 💬tìpängkxo.
05:18 -- Analyzing message from CaptJakeSparrow#6873 in 💬tìpängkxo.
05:18 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
05:18 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
05:19 -- Analyzing message from omikranay#9170 in 🎨tseo.
05:19 -- Analyzing message from omikranay#9170 in 🎨tseo.
05:19 -- Analyzing message from HappyHippo77#2866 in 🎨tseo.
05:19 -- Analyzing message from Deadpoole#1548 in 📝tips-and-tricks.
05:54 -- Analyzing message from Wind12#2315 in ⚠next-shadow-spoilers.
06:28 -- Analyzing message from Xaedaile#9043 in ⚠next-shadow-spoilers.
07:12 -- Analyzing message from Tekre#3259 in ayeyktan.
07:25 -- Analyzing message from Mako#2511 in ayeyktan.
07:25 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
07:32 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:33 -- Analyzing message from Tekre#3259 in 🇩🇪deutsch.
07:34 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:34 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
07:34 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:35 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:35 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:35 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:36 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:38 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:38 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:38 -- Analyzing message from General Anubis#6342 in 💬tìpängkxo.
07:38 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:38 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:39 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:39 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:39 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:42 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
07:43 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
07:43 -- Analyzing message from Plumps#9467 in 💬tìpängkxo.
07:44 -- Analyzing message from General Anubis#6342 in 💬tìpängkxo.
07:44 -- Analyzing message from General Anubis#6342 in 💬tìpängkxo.
07:50 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:51 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:51 -- Analyzing message from Plumps#9467 in 💬tìpängkxo.
07:52 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:53 -- Analyzing message from Plumps#9467 in 💬tìpängkxo.
07:53 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
07:54 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
07:54 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:54 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:55 -- Analyzing message from Plumps#9467 in 💬tìpängkxo.
07:56 -- Analyzing message from Tekre#3259 in 💬tìpängkxo.
07:58 -- Analyzing message from Plumps#9467 in 💬tìpängkxo.
07:59 -- Analyzing message from Plumps#9467 in 💬tìpängkxo.
08:00 -- Analyzing message from heavyderdynono#4168 in 💬tìpängkxo.
08:07 -- SirGentleManGrimReaper joined the server.
08:07 -- Gave SirGentleManGrimReaper the role frapo.
08:07 -- Created a new profile for SirGentleManGrimReaper.
08:08 -- Analyzing message from InfinityEnergy#1806 in 💬tìpängkxo.
08:11 -- Analyzing message from InfinityEnergy#1806 in 👋kaltxì.
08:11 -- Analyzing message from InfinityEnergy#1806 in 👋kaltxì.
08:12 -- Analyzing message from SirGentleManGrimReaper#6728 in 👋kaltxì.
08:13 -- Analyzing message from InfinityEnergy#1806 in 👋kaltxì.
08:13 -- Analyzing message from InfinityEnergy#1806 in 👋kaltxì.
08:14 -- Analyzing message from Izzinator#3148 in 🔞after-hours.
08:15 -- Analyzing message from SirGentleManGrimReaper#6728 in 👋kaltxì.
08:16 -- Analyzing message from InfinityEnergy#1806 in 👋kaltxì.
08:17 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:17 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:17 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
08:17 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
08:18 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
08:18 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
08:19 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:21 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:21 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:22 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
08:23 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:25 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:26 -- Analyzing message from Mako#2511 in 💬tìpängkxo.
08:26 -- Analyzing message from Mako#2511 in 🔞after-hours.
08:32 -- Analyzing message from Atokirina#2706 in 💬tìpängkxo.
08:35 -- Analyzing message from TotalyMoo#2039 in 💬tìpängkxo.
08:48 -- Analyzing message from TotalyMoo#2039 in 🎨tseo.
08:48 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
08:48 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
10:06 -- Tekre: 429361033446948864 executed the !profile command with arguments:  <@!429361033446948864>
10:09 -- Analyzing message from Tekre#3259 in 🤖bot-spxäm.
10:10 -- Analyzing message from Tekre#3259 in 🤖bot-spxäm.
10:11 -- Analyzing message from ollywood#4813 in 💬tìpängkxo.
10:11 -- Analyzing message from Tekre#3259 in 🤖bot-spxäm.
10:42 -- Analyzing message from Kurikara#4094 in 💬tìpängkxo.
10:42 -- Analyzing message from Kurikara#4094 in 💬tìpängkxo.
10:49 -- Analyzing message from omikranay#9170 in 💬tìpängkxo.
10:50 -- Analyzing message from Kurikara#4094 in 💬tìpängkxo.
10:51 -- Analyzing message from Kurikara#4094 in 💬tìpängkxo.
